plant_id,sector,plant_state,generator_id,nameplate_capacity_mw,summer_capacity_mw,technology,generation_type,operating_year,retirement_year_or_planned,status,latitude,longitude
271,IPP Non-CHP,CA,7,751.1,682,Natural Gas Steam Turbine,Natural Gas,1972,2017,Retired,38.039168,-121.8945
3845,IPP Non-CHP,WA,1,729.9,670,Conventional Steam Coal,Coal,1972,2020,Retired,46.755938,-122.8598
127,Electric Utility,TX,1,720,650,Conventional Steam Coal,Coal,1986,2020,Retired,34.0825,-99.1753
1378,Electric Utility,KY,1,704,628,Conventional Steam Coal,Coal,1963,2017,Retired,37.2608,-86.9783
1378,Electric Utility,KY,2,704,602,Conventional Steam Coal,Coal,1963,2017,Retired,37.2608,-86.9783
260,IPP Non-CHP,CA,6,702,754,Natural Gas Steam Turbine,Natural Gas,1967,2016,Retired,36.804837,-121.7822
260,IPP Non-CHP,CA,7,702,755,Natural Gas Steam Turbine,Natural Gas,1968,2016,Retired,36.804837,-121.7822
2837,IPP Non-CHP,OH,5,680,597,Conventional Steam Coal,Coal,1972,2012,Retired,41.6711,-81.4425
1060,IPP Non-CHP,IA,1,679.5,601.4,Nuclear,Nuclear,1975,2020,Retired,42.1011,-91.7781
207,Electric Utility,FL,1,679,626,Conventional Steam Coal,Coal,1987,2018,Retired,30.4308,-81.5508
207,Electric Utility,FL,2,679,626,Conventional Steam Coal,Coal,1988,2018,Retired,30.4308,-81.5508
1590,IPP Non-CHP,MA,1,670,673.6,Nuclear,Nuclear,1972,2019,Retired,41.9438,-70.578
52071,IPP Non-CHP,TX,5,661.5,600,Conventional Steam Coal,Coal,2010,2018,Retired,30.5681,-97.0614
6031,Electric Utility,OH,2,660.6,600,Conventional Steam Coal,Coal,1982,2018,Retired,38.6903,-83.4803
2403,IPP Non-CHP,NJ,2,659.7,620,Natural Gas Steam Turbine,Natural Gas,1968,2017,Retired,40.7478,-74.0722
6082,IPP Non-CHP,NY,1,655.1,676.4,Conventional Steam Coal,Coal,1984,2020,Retired,43.358889,-78.60472
1619,IPP Non-CHP,MA,3,642.6,575,Conventional Steam Coal,Coal,1969,2017,Retired,41.7103,-71.1931
6106,Electric Utility,OR,1,642.2,585,Conventional Steam Coal,Coal,1980,2020,Retired,45.693182,-119.8088
6017,IPP Non-CHP,IL,2,617.4,600,Conventional Steam Coal,Coal,1982,2016,Retired,38.9361,-88.2781
6170,Electric Utility,WI,1,616.6,594,Conventional Steam Coal,Coal,1980,2018,Retired,42.5381,-87.9033
6170,Electric Utility,WI,2,616.6,594,Conventional Steam Coal,Coal,1985,2018,Retired,42.5381,-87.9033
861,IPP Non-CHP,IL,2,616.5,565,Conventional Steam Coal,Coal,1972,2019,Retired,39.0586,-89.4031
2872,IPP Non-CHP,OH,5,615.2,585,Conventional Steam Coal,Coal,1968,2015,Retired,39.5908,-81.6797
2850,Electric Utility,OH,1,610.2,577,Conventional Steam Coal,Coal,1971,2017,Retired,38.6361,-83.6939
2850,Electric Utility,OH,2,610.2,577,Conventional Steam Coal,Coal,1970,2018,Retired,38.6361,-83.6939
2850,Electric Utility,OH,3,610.2,577,Conventional Steam Coal,Coal,1972,2018,Retired,38.6361,-83.6939
2850,Electric Utility,OH,4,610.2,577,Conventional Steam Coal,Coal,1974,2018,Retired,38.6361,-83.6939
3497,IPP Non-CHP,TX,1,593.4,606,Conventional Steam Coal,Coal,1971,2018,Retired,31.8206,-96.0544
3497,IPP Non-CHP,TX,2,593.4,602,Conventional Steam Coal,Coal,1972,2018,Retired,31.8206,-96.0544
6147,IPP Non-CHP,TX,1,593.4,535,Conventional Steam Coal,Coal,1974,2018,Retired,33.0917,-95.0417
6147,IPP Non-CHP,TX,2,593.4,535,Conventional Steam Coal,Coal,1975,2018,Retired,33.0917,-95.0417
1394,Electric Utility,LA,4,591.8,482,Natural Gas Steam Turbine,Natural Gas,1973,2018,Retired,30.2743,-91.1164
1394,Electric Utility,LA,3,591.8,450,Natural Gas Steam Turbine,Natural Gas,1968,2016,Retired,30.2743,-91.1164
1394,Electric Utility,LA,5,591.8,485,Natural Gas Steam Turbine,Natural Gas,1976,2016,Retired,30.2743,-91.1164
6648,IPP Non-CHP,TX,4,590.6,600,Conventional Steam Coal,Coal,1981,2018,Retired,30.565871,-97.06403
1409,Electric Utility,LA,3,582.2,543.8,Natural Gas Steam Turbine,Natural Gas,1967,2016,Retired,30.0081,-89.9372
3508,IPP Non-CHP,TX,2,580.5,520,Natural Gas Steam Turbine,Natural Gas,1967,2015,Retired,33.628143,-96.36761
3466,IPP Non-CHP,TX,3,580.5,552,Natural Gas Steam Turbine,Natural Gas,1968,2009,Retired,29.486667,-94.97944
988,Electric Utility,IN,4,579.7,500,Conventional Steam Coal,Coal,1964,2015,Retired,39.0814,-84.8594
708,Electric Utility,GA,4,578,510,Conventional Steam Coal,Coal,1970,2019,Retired,34.2528,-85.3456
3179,IPP Non-CHP,PA,1,576,530,Conventional Steam Coal,Coal,1969,2013,Retired,39.855556,-79.9275
3179,IPP Non-CHP,PA,2,576,530,Conventional Steam Coal,Coal,1970,2013,Retired,39.855556,-79.9275
3179,IPP Non-CHP,PA,3,576,530,Conventional Steam Coal,Coal,1971,2013,Retired,39.855556,-79.9275
50,Electric Utility,AL,7,575,473,Conventional Steam Coal,Coal,1961,2015,Retired,34.883022,-85.75525
3751,IPP Non-CHP,VT,1,563.4,612.4,Nuclear,Nuclear,1972,2014,Retired,42.7786,-72.5133
8024,IPP Non-CHP,WI,1,560.1,566,Nuclear,Nuclear,1974,2013,Retired,44.3422,-87.5358
6139,Electric Utility,TX,2,558,528,Conventional Steam Coal,Coal,1980,2016,Retired,33.05522,-94.83999
2451,Electric Utility,NM,3,555,497,Conventional Steam Coal,Coal,1979,2017,Retired,36.8006,-108.4386
50,Electric Utility,AL,8,550,465,Conventional Steam Coal,Coal,1965,2015,Retired,34.883022,-85.75525
47,Electric Utility,AL,5,550,472,Conventional Steam Coal,Coal,1965,2016,Retired,34.7439,-87.8486
2388,IPP Non-CHP,NJ,1,550,607.7,Nuclear,Nuclear,1969,2018,Retired,39.8143,-74.2062
6025,IPP Non-CHP,IL,1,544.9,554,Natural Gas Steam Turbine,Natural Gas,1978,2004,Retired,41.346111,-88.39278
6025,IPP Non-CHP,IL,2,544.9,554,Natural Gas Steam Turbine,Natural Gas,1977,2004,Retired,41.346111,-88.39278
173,Electric Utility,AR,2,544.6,544,Natural Gas Steam Turbine,Natural Gas,1968,2013,Retired,34.4629,-90.5987
709,Electric Utility,GA,3,544,488,Conventional Steam Coal,Coal,1968,2015,Retired,33.195,-83.2983
709,Electric Utility,GA,4,544,507,Conventional Steam Coal,Coal,1969,2015,Retired,33.195,-83.2983
165,Electric Utility,OK,1,540,40,Natural Gas Steam Turbine,Natural Gas,1981,2020,Retired,36.190278,-95.2894
3494,IPP Non-CHP,TX,6,535.5,515,Natural Gas Steam Turbine,Natural Gas,1973,2016,Retired,31.5839,-102.9633
628,Electric Utility,FL,2,523.8,442,Conventional Steam Coal,Coal,1969,2018,Retired,28.9656,-82.6977
6025,IPP Non-CHP,IL,4,520.7,530,Natural Gas Steam Turbine,Natural Gas,1978,2004,Retired,41.346111,-88.39278
6025,IPP Non-CHP,IL,5,520.7,503,Natural Gas Steam Turbine,Natural Gas,1979,2004,Retired,41.346111,-88.39278
6025,IPP Non-CHP,IL,3,518.9,530,Natural Gas Steam Turbine,Natural Gas,1977,2004,Retired,41.346111,-88.39278
3492,IPP Non-CHP,TX,6,517.5,511,Natural Gas Steam Turbine,Natural Gas,1966,2012,Retired,32.3358,-100.9156
2289,Electric Utility,NE,1,502,482.8,Nuclear,Nuclear,1973,2016,Retired,41.520522,-96.07751
404,Electric Utility,CA,3,496.8,445,Natural Gas Steam Turbine,Natural Gas,1974,2015,Retired,33.918151,-118.4276
3938,Electric Utility,WV,5,495.5,440,Conventional Steam Coal,Coal,1960,2012,Retired,38.9669,-81.9231
315,IPP Non-CHP,CA,6,495,495,Natural Gas Steam Turbine,Natural Gas,1966,2019,Retired,33.7688,-118.1009
356,IPP Non-CHP,CA,7,495,480,Natural Gas Steam Turbine,Natural Gas,1967,2019,Retired,33.8504,-118.395
891,IPP Non-CHP,IL,6,488,411,Conventional Steam Coal,Coal,1978,2019,Retired,40.2797,-90.08
3466,IPP Non-CHP,TX,1,484.5,461,Natural Gas Steam Turbine,Natural Gas,1966,2009,Retired,29.486667,-94.97944
3466,IPP Non-CHP,TX,2,484.5,461,Natural Gas Steam Turbine,Natural Gas,1967,2009,Retired,29.486667,-94.97944
1626,IPP Non-CHP,MA,4,475.5,436.8,Petroleum Liquids,Oil,1972,2014,Retired,42.5256,-70.8772
1619,IPP Non-CHP,MA,4,475.5,435,Petroleum Liquids,Oil,1974,2017,Retired,41.7103,-71.1931
2963,Electric Utility,OK,4,473,460,Conventional Steam Coal,Coal,1980,2016,Retired,36.4317,-95.7008
2830,Electric Utility,OH,6,460.8,414,Conventional Steam Coal,Coal,1969,2014,Retired,38.9917,-84.2981
2403,IPP Non-CHP,NJ,1,454.7,182.8,Natural Gas Steam Turbine,Natural Gas,1964,2011,Retired,40.7478,-74.0722
6136,Electric Utility,TX,1,453.5,470,Conventional Steam Coal,Coal,1983,2019,Retired,30.619937,-96.08185
2713,Electric Utility,NC,3,446.6,366,Conventional Steam Coal,Coal,1972,2013,Retired,34.283056,-77.98528
3464,IPP Non-CHP,TX,5,446.4,406,Natural Gas Steam Turbine,Natural Gas,1973,2017,Retired,29.822201,-95.21943
4937,Electric Utility,TX,1,446,350,Natural Gas Steam Turbine,Natural Gas,1974,2013,Retired,30.558,-98.3705
2840,IPP Non-CHP,OH,5,443.9,375,Conventional Steam Coal,Coal,1976,2019,Retired,40.1842,-81.8811
2840,IPP Non-CHP,OH,6,443.9,375,Conventional Steam Coal,Coal,1978,2019,Retired,40.1842,-81.8811
6016,IPP Non-CHP,IL,1,441,410,Conventional Steam Coal,Coal,1976,2019,Retired,40.4663,-89.9841
628,Electric Utility,FL,1,440.5,324,Conventional Steam Coal,Coal,1966,2018,Retired,28.9656,-82.6977
2094,Electric Utility,MO,3,419,364.1,Conventional Steam Coal,Coal,1969,2018,Retired,39.178319,-94.18445
113,Electric Utility,AZ,4,414,380,Conventional Steam Coal,Coal,1981,2020,Retired,34.9394,-110.3033
995,Electric Utility,IN,8,413.1,320,Conventional Steam Coal,Coal,1968,2018,Retired,41.645,-87.1225
3471,IPP Non-CHP,TX,3,410,374,Natural Gas Steam Turbine,Natural Gas,1965,2006,Retired,29.525833,-95.10806
55853,IPP Non-CHP,CA,1,409.5,345,Natural Gas Fired Combined Cycle,Natural Gas,2009,2020,Retired,33.738839,-117.1704
55853,IPP Non-CHP,CA,2,409.5,345,Natural Gas Fired Combined Cycle,Natural Gas,2010,2020,Retired,33.738839,-117.1704
621,Electric Utility,FL,ST1,402,396,Natural Gas Steam Turbine,Natural Gas,1967,2016,Retired,25.4356,-80.3308
609,Electric Utility,FL,1,402,396,Petroleum Liquids,Oil,1965,2010,Retired,28.4698,-80.7644
609,Electric Utility,FL,2,402,396,Petroleum Liquids,Oil,1969,2010,Retired,28.4698,-80.7644
621,Electric Utility,FL,ST2,402,392,Petroleum Liquids,Oil,1968,2013,Retired,25.4356,-80.3308
617,Electric Utility,FL,ST3,402,387,Petroleum Liquids,Oil,1964,2013,Retired,26.0856,-80.1253
617,Electric Utility,FL,ST4,402,392,Petroleum Liquids,Oil,1965,2013,Retired,26.0856,-80.1253
3489,IPP Non-CHP,TX,3,396.1,375,Natural Gas Steam Turbine,Natural Gas,1971,2012,Retired,32.9056,-97.4792
3508,IPP Non-CHP,TX,3,396,375,Natural Gas Steam Turbine,Natural Gas,1971,2015,Retired,33.628143,-96.36761
50976,Electric Utility,FL,GEN1,395.4,330,Conventional Steam Coal,Coal,1995,2020,Retired,27.0389,-80.5125
1240,Electric Utility,KS,2,390,376,Natural Gas Steam Turbine,Natural Gas,1967,2018,Retired,37.7903,-97.52167
861,IPP Non-CHP,IL,1,388.9,330,Conventional Steam Coal,Coal,1965,2019,Retired,39.0586,-89.4031
898,IPP Non-CHP,IL,5,387.6,371,Conventional Steam Coal,Coal,1964,2016,Retired,38.8639,-90.1347
1010,Electric Utility,IN,6,387,318,Conventional Steam Coal,Coal,1968,2016,Retired,39.53,-87.4247
886,IPP Non-CHP,IL,19,374,326,Conventional Steam Coal,Coal,1968,2012,Retired,41.8508,-87.6533
2451,Electric Utility,NM,2,369,340,Conventional Steam Coal,Coal,1973,2017,Retired,36.8006,-108.4386
3454,IPP Non-CHP,TX,3,361.3,365,Natural Gas Steam Turbine,Natural Gas,1964,2009,Retired,32.950556,-96.975
709,Electric Utility,GA,2,359,325,Conventional Steam Coal,Coal,1967,2013,Retired,33.195,-83.2983
259,IPP Non-CHP,CA,3,359,337,Natural Gas Steam Turbine,Natural Gas,1962,2014,Retired,35.372167,-120.8566
259,IPP Non-CHP,CA,4,359,336,Natural Gas Steam Turbine,Natural Gas,1963,2014,Retired,35.372167,-120.8566
228,IPP Non-CHP,CA,6,359,335,Natural Gas Steam Turbine,Natural Gas,1964,2013,Retired,38.0192,-121.7642
228,IPP Non-CHP,CA,7,359,337,Natural Gas Steam Turbine,Natural Gas,1964,2013,Retired,38.0192,-121.7642
173,Electric Utility,AR,1,359,300,Natural Gas Steam Turbine,Natural Gas,1961,2013,Retired,34.4629,-90.5987
1589,IPP Non-CHP,MA,1,359,350,Natural Gas Steam Turbine,Natural Gas,1965,2007,Retired,42.339167,-71.03528
1589,IPP Non-CHP,MA,2,358.7,352,Natural Gas Steam Turbine,Natural Gas,1967,2002,Retired,42.339167,-71.03528
867,IPP Non-CHP,IL,8,358.1,319,Conventional Steam Coal,Coal,1961,2012,Retired,41.82848,-87.72291
6076,IPP Non-CHP,MT,1,358,307,Conventional Steam Coal,Coal,1975,2020,Retired,45.8831,-106.614
6076,IPP Non-CHP,MT,2,358,307,Conventional Steam Coal,Coal,1976,2020,Retired,45.8831,-106.614
3161,IPP Non-CHP,PA,1,353.6,279,Conventional Steam Coal,Coal,1960,2011,Retired,39.858,-75.323
3161,IPP Non-CHP,PA,2,353.6,309,Conventional Steam Coal,Coal,1960,2012,Retired,39.858,-75.323
4050,Electric Utility,WI,4,351,294.4,Conventional Steam Coal,Coal,1969,2018,Retired,43.715142,-87.70586
1091,Electric Utility,IA,2,349.2,283.7,Conventional Steam Coal,Coal,1972,2016,Retired,42.299794,-96.36171
302,IPP Non-CHP,CA,5,345.6,330,Natural Gas Steam Turbine,Natural Gas,1978,2018,Retired,33.1361,-117.3364
400,Electric Utility,CA,5,343,292,Natural Gas Steam Turbine,Natural Gas,1966,2013,Retired,33.764741,-118.0991
400,Electric Utility,CA,6,343,238,Natural Gas Steam Turbine,Natural Gas,1967,2013,Retired,33.764741,-118.0991
330,IPP Non-CHP,CA,4,342,335,Natural Gas Steam Turbine,Natural Gas,1965,2015,Retired,33.909804,-118.4242
330,IPP Non-CHP,CA,3,342,335,Natural Gas Steam Turbine,Natural Gas,1964,2013,Retired,33.909804,-118.4242
331,IPP Non-CHP,CA,3,333,320,Natural Gas Steam Turbine,Natural Gas,1963,2018,Retired,34.09118,-117.5266
331,IPP Non-CHP,CA,4,333,320,Natural Gas Steam Turbine,Natural Gas,1963,2018,Retired,34.09118,-117.5266
50712,IPP Non-CHP,CA,GEN1,332.5,332.5,Onshore Wind Turbine,Wind,1983,2015,Retired,37.7341,-121.6516
3393,Electric Utility,TN,1,330,247,Conventional Steam Coal,Coal,1959,2018,Retired,35.074087,-90.14868
3393,Electric Utility,TN,2,330,247,Conventional Steam Coal,Coal,1959,2018,Retired,35.074087,-90.14868
3393,Electric Utility,TN,3,330,247,Conventional Steam Coal,Coal,1959,2018,Retired,35.074087,-90.14868
2408,IPP Non-CHP,NJ,1,326.4,316,Conventional Steam Coal,Coal,1960,2017,Retired,40.1792,-74.7339
2408,IPP Non-CHP,NJ,2,326.4,316,Conventional Steam Coal,Coal,1961,2017,Retired,40.1792,-74.7339
271,IPP Non-CHP,CA,5,326.4,312,Natural Gas Steam Turbine,Natural Gas,1960,2017,Retired,38.039168,-121.8945
271,IPP Non-CHP,CA,6,326.4,317,Natural Gas Steam Turbine,Natural Gas,1961,2017,Retired,38.039168,-121.8945
3548,Electric Utility,TX,1,321,320,Natural Gas Steam Turbine,Natural Gas,1971,2020,Retired,30.3033,-97.6128
619,Electric Utility,FL,3,310.4,277,Petroleum Liquids,Oil,1962,2011,Retired,26.7653,-80.0525
619,Electric Utility,FL,4,310.4,288,Petroleum Liquids,Oil,1963,2011,Retired,26.7653,-80.0525
302,IPP Non-CHP,CA,4,306,300,Natural Gas Steam Turbine,Natural Gas,1973,2018,Retired,33.1361,-117.3364
710,Electric Utility,GA,2,299.2,251,Conventional Steam Coal,Coal,1964,2011,Retired,33.8239,-84.4758
710,Electric Utility,GA,1,299.2,251,Conventional Steam Coal,Coal,1963,2012,Retired,33.8239,-84.4758
3181,IPP Non-CHP,PA,3,299.2,278,Conventional Steam Coal,Coal,1963,2013,Retired,40.221111,-79.96833
884,IPP Non-CHP,IL,3,299.2,251,Conventional Steam Coal,Coal,1957,2015,Retired,41.6334,-88.0629
709,Electric Utility,GA,1,299.2,266,Conventional Steam Coal,Coal,1965,2015,Retired,33.195,-83.2983
2324,Electric Utility,NV,4,294.8,257,Conventional Steam Coal,Coal,1983,2017,Retired,36.657347,-114.6333
1740,Electric Utility,MI,2,292.5,251,Conventional Steam Coal,Coal,1957,2016,Retired,42.2739,-83.1119
10672,IPP CHP,FL,GEN1,291.6,250,Conventional Steam Coal,Coal,1994,2016,Retired,30.4225,-81.6064
603,IPP Non-CHP,DC,15,290,275,Petroleum Liquids,Oil,1968,2012,Retired,38.8994,-76.9592
603,IPP Non-CHP,DC,16,290,275,Petroleum Liquids,Oil,1972,2012,Retired,38.8994,-76.9592
113,Electric Utility,AZ,2,288.9,260,Conventional Steam Coal,Coal,1978,2015,Retired,34.9394,-110.3033
1740,Electric Utility,MI,1,282.6,206,Natural Gas Steam Turbine,Natural Gas,1956,2016,Retired,42.2739,-83.1119
1374,Electric Utility,KY,2,282.1,262.8,Conventional Steam Coal,Coal,1974,2020,Retired,37.7942,-87.0608
3,Electric Utility,AL,3,272,249,Conventional Steam Coal,Coal,1959,2015,Retired,31.0069,-88.0103
1363,Electric Utility,KY,6,272,240,Conventional Steam Coal,Coal,1969,2015,Retired,38.1831,-85.8892
1409,Electric Utility,LA,2,261.8,241.6,Natural Gas Steam Turbine,Natural Gas,1963,2016,Retired,30.0081,-89.9372
3443,IPP Non-CHP,TX,6,261,250,Natural Gas Steam Turbine,Natural Gas,1968,2008,Retired,28.7883,-97.01
3440,IPP Non-CHP,TX,4,261,245,Natural Gas Steam Turbine,Natural Gas,1969,2006,Retired,27.85,-97.6167
3436,IPP Non-CHP,TX,1,261,254,Natural Gas Steam Turbine,Natural Gas,1971,2002,Retired,28.647244,-96.54575
87,Electric Utility,NM,1,257,253,Conventional Steam Coal,Coal,1984,2020,Retired,35.4159,-108.082
2835,IPP Non-CHP,OH,5,256,244,Conventional Steam Coal,Coal,1958,2015,Retired,41.9086,-80.7697
2838,IPP Non-CHP,OH,18,256,245,Conventional Steam Coal,Coal,1962,2015,Retired,41.5356,-81.6419
3113,IPP Non-CHP,PA,2,255,226,Conventional Steam Coal,Coal,1962,2013,Retired,40.910205,-75.0794
2442,Electric Utility,NM,3,253.4,220,Conventional Steam Coal,Coal,1964,2013,Retired,36.69,-108.4814
2953,Electric Utility,OK,4,253,0,Natural Gas Steam Turbine,Natural Gas,1959,2017,Retired,35.46988,-97.67498
2709,Electric Utility,NC,3,252.4,240,Conventional Steam Coal,Coal,1962,2012,Retired,35.379866,-78.0878
617,Electric Utility,FL,ST1,248,213,Petroleum Liquids,Oil,1960,2012,Retired,26.0856,-80.1253
617,Electric Utility,FL,ST2,248,213,Petroleum Liquids,Oil,1961,2012,Retired,26.0856,-80.1253
3469,IPP Non-CHP,TX,2,247.8,229,Natural Gas Steam Turbine,Natural Gas,1960,2005,Retired,29.9417,-95.5306
1402,Electric Utility,LA,1,247.7,227.9,Natural Gas Steam Turbine,Natural Gas,1961,2015,Retired,30.005067,-90.46169
1404,Electric Utility,LA,6,247.7,212,Natural Gas Steam Turbine,Natural Gas,1958,2012,Retired,32.7047,-92.0792
2830,Electric Utility,OH,5,244.8,238,Conventional Steam Coal,Coal,1962,2014,Retired,38.9917,-84.2981
1619,IPP Non-CHP,MA,1,241,225.2,Conventional Steam Coal,Coal,1963,2017,Retired,41.7103,-71.1931
1619,IPP Non-CHP,MA,2,241,237.8,Conventional Steam Coal,Coal,1964,2017,Retired,41.7103,-71.1931
310,IPP Non-CHP,CA,4,240.3,222,Natural Gas Steam Turbine,Natural Gas,1971,2009,Retired,32.6131,-117.0964
1394,Electric Utility,LA,2,239.4,180,Natural Gas Steam Turbine,Natural Gas,1964,2018,Retired,30.2743,-91.1164
3459,Electric Utility,TX,2,239.4,204.4,Natural Gas Steam Turbine,Natural Gas,1962,2016,Retired,30.0242,-93.878
864,IPP Non-CHP,IL,3,239.3,203,Conventional Steam Coal,Coal,1960,2011,Retired,39.82333,-90.56722
867,IPP Non-CHP,IL,7,239.3,213,Conventional Steam Coal,Coal,1958,2012,Retired,41.82848,-87.72291
3803,Electric Utility,VA,ST4,239.3,217,Conventional Steam Coal,Coal,1962,2015,Retired,36.7711,-76.3019
3804,Electric Utility,VA,4,239.3,220,Natural Gas Steam Turbine,Natural Gas,1962,2019,Retired,38.5367,-77.2806
634,Electric Utility,FL,ST3,239.3,201,Petroleum Liquids,Oil,1963,2009,Retired,27.859535,-82.60176
1927,Electric Utility,MN,8,238.8,227,Conventional Steam Coal,Coal,1964,2009,Retired,45.0203,-93.2753
2053,Electric Utility,MS,4,238.7,197.7,Natural Gas Steam Turbine,Natural Gas,1959,2019,Retired,32.356954,-90.21297
3776,Electric Utility,VA,6,237.5,235,Conventional Steam Coal,Coal,1957,2015,Retired,37.3706,-80.8633
2872,IPP Non-CHP,OH,3,237.5,205,Conventional Steam Coal,Coal,1957,2015,Retired,39.5908,-81.6797
2872,IPP Non-CHP,OH,4,237.5,205,Conventional Steam Coal,Coal,1958,2015,Retired,39.5908,-81.6797
3947,IPP Non-CHP,WV,1,237.5,200,Conventional Steam Coal,Coal,1958,2015,Retired,39.8461,-80.8186
3947,IPP Non-CHP,WV,2,237.5,200,Conventional Steam Coal,Coal,1958,2015,Retired,39.8461,-80.8186
3947,IPP Non-CHP,WV,3,237.5,200,Conventional Steam Coal,Coal,1959,2015,Retired,39.8461,-80.8186
3775,Electric Utility,VA,3,237.5,230,Conventional Steam Coal,Coal,1961,2015,Retired,36.9333,-82.1997
56,Electric Utility,AL,2,236,238,Conventional Steam Coal,Coal,1978,2020,Retired,31.488019,-87.91075
56,Electric Utility,AL,3,236,238,Conventional Steam Coal,Coal,1980,2020,Retired,31.488019,-87.91075
3502,IPP Non-CHP,TX,ST2,236,230,Natural Gas Steam Turbine,Natural Gas,1959,2014,Retired,31.4647,-96.985
892,IPP Non-CHP,IL,2,231.3,218,Conventional Steam Coal,Coal,1959,2019,Retired,41.3028,-89.315
400,Electric Utility,CA,3,230,222,Natural Gas Steam Turbine,Natural Gas,1964,2004,Retired,33.764741,-118.0991
400,Electric Utility,CA,4,230,222,Natural Gas Steam Turbine,Natural Gas,1965,2003,Retired,33.764741,-118.0991
3159,IPP Non-CHP,PA,2,230,201,Petroleum Liquids,Oil,1955,2011,Retired,40.1531,-75.5294
335,IPP Non-CHP,CA,4,227,227,Natural Gas Steam Turbine,Natural Gas,1961,2012,Retired,33.6439,-117.9792
273,IPP Non-CHP,CA,3,226,206,Natural Gas Steam Turbine,Natural Gas,1965,2011,Retired,37.7508,-122.3683
3468,IPP Non-CHP,TX,3,225.3,230,Natural Gas Steam Turbine,Natural Gas,1959,2017,Retired,29.726775,-95.05983
3468,IPP Non-CHP,TX,4,225.3,230,Natural Gas Steam Turbine,Natural Gas,1960,2017,Retired,29.726775,-95.05983
335,IPP Non-CHP,CA,3,225,225,Natural Gas Steam Turbine,Natural Gas,1961,2012,Retired,33.6439,-117.9792
2872,IPP Non-CHP,OH,1,219.6,190,Conventional Steam Coal,Coal,1953,2015,Retired,39.5908,-81.6797
2872,IPP Non-CHP,OH,2,219.6,190,Conventional Steam Coal,Coal,1954,2015,Retired,39.5908,-81.6797
3936,Electric Utility,WV,1,219.6,200,Conventional Steam Coal,Coal,1953,2017,Retired,38.2056,-81.4211
